N回目,ε,α,γ,学習回数,最短経路
---------------------------0.9,0.9,0.9-------------------------------
100,0.60,0.90,0.90,478,16
99,0.60,0.90,0.90,367,16
98,0.60,0.90,0.90,641,16
6,0.50,0.90,0.90,503,16
7,0.50,0.90,0.90,1914,16
3,0.50,0.90,0.90,1591,16
2,0.50,0.90,0.90,48,16
1,0.50,0.90,0.90,3006,16
8,0.50,0.90,0.90,3035,16
4,0.50,0.90,0.90,2554,16
5,0.50,0.90,0.90,1471,16
9,0.50,0.90,0.90,80,16
10,0.50,0.90,0.90,1381,16
12,0.50,0.90,0.90,374,16
11,0.50,0.90,0.90,1668,16
13,0.50,0.90,0.90,3416,16
16,0.50,0.90,0.90,262,16
14,0.50,0.90,0.90,2193,16
15,0.50,0.90,0.90,275,16
17,0.50,0.90,0.90,1627,16
20,0.50,0.90,0.90,767,16
18,0.50,0.90,0.90,2835,16
19,0.50,0.90,0.90,3020,16
22,0.50,0.90,0.90,532,16
21,0.50,0.90,0.90,2109,16
23,0.50,0.90,0.90,1969,16
24,0.50,0.90,0.90,3583,16
25,0.50,0.90,0.90,4270,16
27,0.50,0.90,0.90,66,16
30,0.50,0.90,0.90,898,16
29,0.50,0.90,0.90,496,16
26,0.50,0.90,0.90,1542,16
28,0.50,0.90,0.90,7867,16
31,0.50,0.90,0.90,2615,16
38,0.50,0.90,0.90,1449,16
32,0.50,0.90,0.90,656,16
34,0.50,0.90,0.90,2669,16
35,0.50,0.90,0.90,2737,16
33,0.50,0.90,0.90,515,16
36,0.50,0.90,0.90,4205,16
37,0.50,0.90,0.90,1811,16
39,0.50,0.90,0.90,3674,16
44,0.50,0.90,0.90,1315,16
42,0.50,0.90,0.90,375,16
43,0.50,0.90,0.90,8526,16
40,0.50,0.90,0.90,9528,16
46,0.50,0.90,0.90,2709,16
41,0.50,0.90,0.90,311,16
45,0.50,0.90,0.90,460,16
47,0.50,0.90,0.90,1543,16
48,0.50,0.90,0.90,3590,16
49,0.50,0.90,0.90,2009,16
50,0.50,0.90,0.90,3381,16
51,0.50,0.90,0.90,382,16
54,0.50,0.90,0.90,2088,16
52,0.50,0.90,0.90,1204,16
58,0.50,0.90,0.90,25,16
53,0.50,0.90,0.90,55,16
56,0.50,0.90,0.90,3743,16
55,0.50,0.90,0.90,985,16
57,0.50,0.90,0.90,1145,16
59,0.50,0.90,0.90,871,16
60,0.50,0.90,0.90,3578,16
61,0.50,0.90,0.90,9096,16
64,0.50,0.90,0.90,175,16
62,0.50,0.90,0.90,4787,16
63,0.50,0.90,0.90,7736,16
65,0.50,0.90,0.90,320,16
66,0.50,0.90,0.90,723,16
71,0.50,0.90,0.90,1231,16
67,0.50,0.90,0.90,5724,16
70,0.50,0.90,0.90,2582,16
69,0.50,0.90,0.90,2746,16
68,0.50,0.90,0.90,1591,16
72,0.50,0.90,0.90,1000,16
73,0.50,0.90,0.90,1035,16
75,0.50,0.90,0.90,1292,16
74,0.50,0.90,0.90,5964,16
77,0.50,0.90,0.90,1681,16
76,0.50,0.90,0.90,2786,16
78,0.50,0.90,0.90,107,16
79,0.50,0.90,0.90,1520,16
80,0.50,0.90,0.90,144,16
81,0.50,0.90,0.90,605,16
85,0.50,0.90,0.90,801,16
84,0.50,0.90,0.90,2667,16
82,0.50,0.90,0.90,2672,16
83,0.50,0.90,0.90,4375,16
86,0.50,0.90,0.90,4816,16
91,0.50,0.90,0.90,1550,16
88,0.50,0.90,0.90,717,16
90,0.50,0.90,0.90,4139,16
92,0.50,0.90,0.90,2090,16
89,0.50,0.90,0.90,1768,16
87,0.50,0.90,0.90,2841,16
97,0.50,0.90,0.90,323,16
95,0.50,0.90,0.90,750,16
96,0.50,0.90,0.90,787,16
93,0.50,0.90,0.90,11968,16
94,0.50,0.90,0.90,3659,16
99,0.50,0.90,0.90,1088,16
100,0.50,0.90,0.90,2139,16
98,0.50,0.90,0.90,3255,16
4,0.40,0.90,0.90,6269,16
8,0.40,0.90,0.90,3582,16
7,0.40,0.90,0.90,10023,16
1,0.40,0.90,0.90,2834,16
5,0.40,0.90,0.90,20730,16
3,0.40,0.90,0.90,42152,16
6,0.40,0.90,0.90,2488,16
9,0.40,0.90,0.90,486,16
2,0.40,0.90,0.90,10396,16
10,0.40,0.90,0.90,8162,16
11,0.40,0.90,0.90,4423,16
16,0.40,0.90,0.90,3884,16
12,0.40,0.90,0.90,35435,16
14,0.40,0.90,0.90,263,16
15,0.40,0.90,0.90,42690,16
13,0.40,0.90,0.90,34407,16
17,0.40,0.90,0.90,5479,16
20,0.40,0.90,0.90,6867,16
18,0.40,0.90,0.90,5362,16
25,0.40,0.90,0.90,2854,16
19,0.40,0.90,0.90,18860,16
22,0.40,0.90,0.90,34134,16
23,0.40,0.90,0.90,4942,16
24,0.40,0.90,0.90,20926,16
21,0.40,0.90,0.90,39893,16
28,0.40,0.90,0.90,7115,16
26,0.40,0.90,0.90,1143,16
27,0.40,0.90,0.90,3169,16
30,0.40,0.90,0.90,2305,16
29,0.40,0.90,0.90,18497,16
33,0.40,0.90,0.90,5018,16
32,0.40,0.90,0.90,22762,16
31,0.40,0.90,0.90,4284,16
40,0.40,0.90,0.90,2746,16
34,0.40,0.90,0.90,17325,16
36,0.40,0.90,0.90,3717,16
35,0.40,0.90,0.90,3815,16
38,0.40,0.90,0.90,6370,16
41,0.40,0.90,0.90,12225,16
45,0.40,0.90,0.90,9936,16
42,0.40,0.90,0.90,24586,16
39,0.40,0.90,0.90,15380,16
37,0.40,0.90,0.90,12856,16
44,0.40,0.90,0.90,10872,16
43,0.40,0.90,0.90,9025,16
47,0.40,0.90,0.90,9314,16
48,0.40,0.90,0.90,25601,16
46,0.40,0.90,0.90,6057,16
51,0.40,0.90,0.90,6095,16
50,0.40,0.90,0.90,15407,16
52,0.40,0.90,0.90,2209,16
56,0.40,0.90,0.90,3642,16
49,0.40,0.90,0.90,37943,16
54,0.40,0.90,0.90,12165,16
55,0.40,0.90,0.90,6837,16
53,0.40,0.90,0.90,12972,16
57,0.40,0.90,0.90,4224,16
61,0.40,0.90,0.90,970,16
62,0.40,0.90,0.90,78,16
60,0.40,0.90,0.90,16871,16
59,0.40,0.90,0.90,7275,16
63,0.40,0.90,0.90,533,16
58,0.40,0.90,0.90,22889,16
64,0.40,0.90,0.90,39959,16
67,0.40,0.90,0.90,14758,16
65,0.40,0.90,0.90,44822,16
66,0.40,0.90,0.90,5181,16
69,0.40,0.90,0.90,1889,16
68,0.40,0.90,0.90,62082,16
70,0.40,0.90,0.90,1691,16
71,0.40,0.90,0.90,8065,16
72,0.40,0.90,0.90,11628,16
73,0.40,0.90,0.90,7786,16
76,0.40,0.90,0.90,2976,16
74,0.40,0.90,0.90,20081,16
77,0.40,0.90,0.90,7124,16
79,0.40,0.90,0.90,37729,16
78,0.40,0.90,0.90,20763,16
80,0.40,0.90,0.90,3950,16
75,0.40,0.90,0.90,5923,16
82,0.40,0.90,0.90,5061,16
84,0.40,0.90,0.90,3079,16
81,0.40,0.90,0.90,43331,16
85,0.40,0.90,0.90,5975,16
83,0.40,0.90,0.90,8415,16
86,0.40,0.90,0.90,7226,16
89,0.40,0.90,0.90,8340,16
88,0.40,0.90,0.90,35307,16
87,0.40,0.90,0.90,21570,16
91,0.40,0.90,0.90,24309,16
90,0.40,0.90,0.90,6396,16
93,0.40,0.90,0.90,15635,16
92,0.40,0.90,0.90,4588,16
96,0.40,0.90,0.90,2241,16
95,0.40,0.90,0.90,7063,16
94,0.40,0.90,0.90,33263,16
97,0.40,0.90,0.90,1441,16
99,0.40,0.90,0.90,9772,16
100,0.40,0.90,0.90,6535,16
98,0.40,0.90,0.90,10954,16
3,0.30,0.90,0.90,9276,16
1,0.30,0.90,0.90,55772,16
2,0.30,0.90,0.90,38337,16
7,0.30,0.90,0.90,23929,16
10,0.30,0.90,0.90,34294,16
11,0.30,0.90,0.90,26325,16
9,0.30,0.90,0.90,112608,16
12,0.30,0.90,0.90,2791,16
14,0.30,0.90,0.90,49805,16
15,0.30,0.90,0.90,11390,16
16,0.30,0.90,0.90,69063,16
17,0.30,0.90,0.90,40408,16
